tour_id,tour,opponent,host_country,season,start_date,end_date,matches,formats,innings,runs,hs,avg,strike_rate,fours,sixes,away
v Afghanistan in India 2024|Afghanistan,v Afghanistan in India 2024,Afghanistan,India,2024,2024-01-14,2024-01-17,2,T20I,2,29,29,14.5,170.59,5,0,no
Tournament in USA 2024|Ireland,Tournament in USA 2024,Ireland,USA,2024,2024-06-05,2024-06-05,1,T20I,1,1,1,1,20,0,0,yes
Tournament in USA 2024|Pakistan,Tournament in USA 2024,Pakistan,USA,2024,2024-06-09,2024-06-09,1,T20I,1,4,4,4,133.33,1,0,yes
Tournament in USA 2024|U.S.A.,Tournament in USA 2024,U.S.A.,USA,2024,2024-06-12,2024-06-12,1,T20I,1,0,0,0,0,0,0,yes
Tournament in West Indies 2024|Afghanistan,Tournament in West Indies 2024,Afghanistan,West Indies,2024,2024-06-20,2024-06-20,1,T20I,1,24,24,24,100,0,1,yes
Tournament in West Indies 2024|Bangladesh,Tournament in West Indies 2024,Bangladesh,West Indies,2024,2024-06-22,2024-06-22,1,T20I,1,37,37,37,132.14,1,3,yes
Tournament in West Indies 2024|Australia,Tournament in West Indies 2024,Australia,West Indies,2024,2024-06-24,2024-06-24,1,T20I,1,0,0,0,0,0,0,yes
Tournament in West Indies 2024|England,Tournament in West Indies 2024,England,West Indies,2024,2024-06-27,2024-06-27,1,T20I,1,9,9,9,100,0,1,yes
Tournament in West Indies 2024|South Africa,Tournament in West Indies 2024,South Africa,West Indies,2024,2024-06-29,2024-06-29,1,T20I,1,76,76,76,128.81,6,2,yes
India in Sri Lanka 2024 — v Sri Lanka|Sri Lanka,India in Sri Lanka 2024 — v Sri Lanka,Sri Lanka,Sri Lanka,2024,2024-08-02,2024-08-07,3,ODI,3,58,24,19.33,84.06,8,0,yes
v Bangladesh in India 2024|Bangladesh,v Bangladesh in India 2024,Bangladesh,India,2024,2024-09-19,2024-09-27,2,Test,4,99,47,33,86.09,10,1,no
v New Zealand in India 2024|New Zealand,v New Zealand in India 2024,New Zealand,India,2024,2024-10-16,2024-11-01,3,Test,6,93,70,15.5,53.76,11,1,no
India in Australia 2025 — v Australia|Australia,India in Australia 2025 — v Australia,Australia,Australia,2025,2024-11-22,2025-01-03,5,Test,9,190,100*,23.75,47.98,15,2,yes
v England in India 2025|England,v England in India 2025,England,India,2025,2025-02-09,2025-02-12,2,ODI,2,57,52,28.5,90.48,8,1,no
Tournament in UAE 2025|Bangladesh,Tournament in UAE 2025,Bangladesh,UAE,2025,2025-02-20,2025-02-20,1,ODI,1,22,22,22,57.89,1,0,yes
Tournament in UAE 2025|Pakistan,Tournament in UAE 2025,Pakistan,UAE,2025,2025-02-23,2025-02-23,1,ODI,1,100,100*,-,90.09,7,0,yes
Tournament in UAE 2025|New Zealand,Tournament in UAE 2025,New Zealand,UAE,2025,2025-03-02,2025-03-09,2,ODI,2,12,11,6,75,2,0,yes
Tournament in UAE 2025|Australia,Tournament in UAE 2025,Australia,UAE,2025,2025-03-04,2025-03-04,1,ODI,1,84,84,84,85.71,5,0,yes
India in Australia 2025/26 — v Australia|Australia,India in Australia 2025/26 — v Australia,Australia,Australia,2026,2025-10-19,2025-10-25,3,ODI,3,74,74*,37,79.57,7,0,yes
v South Africa in India 2025|South Africa,v South Africa in India 2025,South Africa,India,2025,2025-11-30,2025-12-06,3,ODI,3,302,135,151,117.05,24,12,no
